category,competitor_name,product_title,price,monthly_sales,rating,key_selling_point
手机壳,竞品_D品牌,手机壳 竞品款1,17.93,2091,4.3,功能全面
手机壳,竞品_A品牌,手机壳 竞品款2,84.02,3247,4.2,售后完善
手机壳,竞品_C品牌,手机壳 竞品款3,87.66,4409,4.7,性价比高
手机壳,竞品_B品牌,手机壳 竞品款4,103.63,2552,4.3,性价比高
手机壳,竞品_A品牌,手机壳 竞品款5,88.48,2033,4.4,物流快
手机壳,竞品_B品牌,手机壳 竞品款6,69.9,2302,4.3,设计独特
钢化膜,竞品_B品牌,钢化膜 竞品款1,26.63,307,4.6,品牌溢价
钢化膜,竞品_A品牌,钢化膜 竞品款2,43.57,2540,4.1,品牌溢价
钢化膜,竞品_B品牌,钢化膜 竞品款3,22.13,4064,4.0,物流快
钢化膜,竞品_A品牌,钢化膜 竞品款4,22.9,1726,4.4,功能全面
钢化膜,竞品_B品牌,钢化膜 竞品款5,38.41,3951,4.7,功能全面
钢化膜,竞品_C品牌,钢化膜 竞品款6,11.9,3434,4.4,性价比高
充电器,竞品_A品牌,充电器 竞品款1,45.35,641,4.7,物流快
充电器,竞品_A品牌,充电器 竞品款2,90.99,2429,4.2,售后完善
充电器,竞品_D品牌,充电器 竞品款3,64.43,983,4.8,品牌溢价
充电器,竞品_A品牌,充电器 竞品款4,110.58,2833,4.5,设计独特
充电器,竞品_D品牌,充电器 竞品款5,65.27,737,4.3,品牌溢价
充电器,竞品_A品牌,充电器 竞品款6,29.23,1315,3.8,物流快
数据线,竞品_C品牌,数据线 竞品款1,50.19,1455,4.0,品牌溢价
数据线,竞品_D品牌,数据线 竞品款2,28.17,1032,4.7,品牌溢价
数据线,竞品_D品牌,数据线 竞品款3,48.39,1197,4.4,售后完善
数据线,竞品_D品牌,数据线 竞品款4,39.53,4070,4.8,物流快
无线充电器,竞品_B品牌,无线充电器 竞品款1,204.93,1402,4.4,品牌溢价
无线充电器,竞品_A品牌,无线充电器 竞品款2,154.1,267,4.0,设计独特
无线充电器,竞品_D品牌,无线充电器 竞品款3,82.64,2896,4.5,设计独特
移动电源,竞品_C品牌,移动电源 竞品款1,72.65,4085,4.7,物流快
移动电源,竞品_C品牌,移动电源 竞品款2,235.49,4307,4.0,品牌溢价
移动电源,竞品_B品牌,移动电源 竞品款3,76.04,2090,4.7,售后完善
移动电源,竞品_D品牌,移动电源 竞品款4,229.1,301,4.0,功能全面
移动电源,竞品_A品牌,移动电源 竞品款5,260.61,2106,4.1,品牌溢价
移动电源,竞品_A品牌,移动电源 竞品款6,118.58,1489,3.8,功能全面
移动电源,竞品_B品牌,移动电源 竞品款7,170.0,3566,4.7,设计独特
蓝牙耳机,竞品_B品牌,蓝牙耳机 竞品款1,264.71,3255,4.1,售后完善
蓝牙耳机,竞品_B品牌,蓝牙耳机 竞品款2,375.53,532,4.7,品牌溢价
蓝牙耳机,竞品_A品牌,蓝牙耳机 竞品款3,142.36,2343,4.8,功能全面
蓝牙耳机,竞品_A品牌,蓝牙耳机 竞品款4,248.71,2842,4.0,设计独特
蓝牙耳机,竞品_B品牌,蓝牙耳机 竞品款5,178.86,1231,4.2,售后完善
蓝牙耳机,竞品_C品牌,蓝牙耳机 竞品款6,282.37,2550,4.8,物流快
手机支架,竞品_C品牌,手机支架 竞品款1,16.07,3644,4.5,物流快
手机支架,竞品_D品牌,手机支架 竞品款2,41.75,882,4.0,设计独特
手机支架,竞品_B品牌,手机支架 竞品款3,28.61,2462,4.3,售后完善
手机支架,竞品_C品牌,手机支架 竞品款4,41.25,4947,4.3,功能全面
